,unnamed: 0,country,total suicide rate,male rate,female rate,2022 population,average yearly temperature (1961–1990 celsius),inequality,ihdi,hdi,overall loss (%),growth since 2010,schizophrenia,bipolar disorder,eating disorders,anxiety disorders,drug use disorders,depression,alcohol use disorders,year,life ladder,log gdp per capita,social support,healthy life expectancy at birth,freedom to make life choices,generosity,perceptions of corruption,positive affect,negative affect
48,48,North Macedonia,9.4,13.9,4.8,2093599,9.8,58,0.681,0.774,12.0,0.062,0.31,0.58,0.15,3.85,0.45,2.76,1.9,2019,5.015,"9,711",0.815,65.474,"0,725","0,024","0,923","0,576","0,304"
49,49,Georgia,9.2,16.0,3.0,3744385,5.65,47,0.716,0.812,11.8,0.093,0.3,0.56,0.14,2.66,0.52,3.54,2.37,2019,4.892,"9,617",0.675,64.3,"0,811","-0,260","0,647","0,604","0,244"
50,50,Nepal,9.0,16.4,2.7,30547580,8.1,109,0.446,0.602,25.9,0.080,0.28,0.4,0.11,3.39,0.39,5.06,1.23,2019,5.449,"8,136",0.772,64.6,"0,790","0,167","0,712","0,536","0,357"
51,51,Cameroon,9.0,13.6,4.4,27914536,24.6,126,0.375,0.563,34.1,0.042,0.22,0.55,0.11,3.28,0.47,4.73,0.58,2019,4.937,"8,203",0.711,53.5,"0,712","-0,008","0,817","0,629","0,326"
52,52,Chile,9.0,14.9,3.2,19603733,8.45,49,0.709,0.851,16.7,0.058,0.34,1.08,0.39,5.92,1.22,3.95,2.86,2019,5.942,"10,095",0.869,70.0,"0,659","-0,103","0,860","0,809","0,337"
53,53,Pakistan,8.9,13.3,4.3,235824862,20.2,124,0.384,0.55,31.1,0.033,0.29,0.4,0.13,3.61,0.46,4.1,1.42,2019,4.443,"8,453",0.617,58.9,"0,685","0,124","0,776","0,581","0,424"
54,54,Thailand,8.8,15.0,2.9,71697030,26.3,65,0.646,0.777,16.9,0.075,0.32,0.35,0.14,3.57,0.85,2.99,1.22,2019,6.022,"9,824",0.903,67.4,"0,898","0,309","0,877","0,843","0,208"
55,55,Togo,8.8,13.8,3.9,8848699,27.15,128,0.351,0.515,31.8,0.039,0.21,0.55,0.09,3.66,0.29,4.58,0.53,2019,4.179,"7,375",0.539,55.1,"0,617","0,065","0,737","0,590","0,444"
56,56,Argentina,8.4,13.7,3.3,45510318,14.8,44,0.729,0.845,13.7,0.063,0.33,1.12,0.36,5.36,0.74,2.59,2.28,2019,6.086,"10,000",0.896,69.0,"0,817","-0,211","0,830","0,826","0,319"
57,57,Gabon,8.4,14.2,2.4,2388992,25.05,93,0.544,0.703,22.6,0.030,0.23,0.57,0.19,4.06,0.43,5.65,1.2,2019,4.914,"9,607",0.763,60.2,"0,736","-0,203","0,846","0,693","0,413"
58,58,China,8.1,9.8,6.2,1425887337,7.5,67,0.639,0.761,16.0,0.101,0.33,0.19,0.12,3.39,0.69,2.92,1.28,2019,5.144,"9,688",0.822,69.6,"0,927","-0,173",,"0,891","0,147"
59,59,Costa Rica,8.1,14.1,2.0,5180829,24.8,64,0.661,0.81,18.4,0.054,0.3,0.93,0.25,4.47,0.62,3.42,1.93,2019,6.998,"9,885",0.906,71.5,"0,927","-0,146","0,836","0,848","0,303"
60,60,United Kingdom,7.9,11.8,4.0,67508936,8.45,16,0.856,0.932,8.2,0.032,0.27,1.2,0.47,4.9,2.19,4.5,3.42,2019,7.157,"10,751",0.943,72.5,"0,854","0,271","0,485","0,775","0,251"
61,61,Benin,7.8,11.8,3.8,13352864,27.55,134,0.343,0.52,37.1,0.023,0.22,0.56,0.1,3.29,0.35,4.54,0.56,2019,4.976,"8,098",0.442,54.7,"0,770","-0,016","0,698","0,659","0,441"
62,62,Spain,7.7,11.4,4.2,47558630,13.3,34,0.783,0.904,13.4,0.004,0.29,1.02,0.65,5.36,1.78,5.19,1.73,2019,6.457,"10,618",0.949,74.7,"0,778","-0,049","0,730","0,663","0,316"
63,63,Ecuador,7.6,11.6,3.6,18001000,21.85,73,0.616,0.759,18.8,0.037,0.29,0.96,0.3,5.51,0.65,3.51,1.01,2019,5.809,"9,339",0.808,68.8,"0,830","-0,115","0,839","0,811","0,374"
64,64,Vietnam,7.5,10.4,4.7,98186856,24.45,82,0.588,0.704,16.5,0.035,0.34,0.35,0.1,2.39,0.62,2.58,1.28,2019,5.467,"8,992",0.848,68.1,"0,952","-0,126","0,788","0,751","0,186"
65,65,Burkina Faso,7.5,11.3,3.7,22673762,28.29,140,0.316,0.452,30.1,0.071,0.21,0.54,0.09,3.15,0.27,4.43,0.56,2019,4.741,"7,691",0.683,54.4,"0,678","-0,004","0,729","0,691","0,365"
66,66,Kyrgyzstan,7.4,11.7,3.2,6630623,2.1,69,0.63,0.697,9.6,0.068,0.28,0.55,0.1,2.18,0.55,3.58,3.16,2019,5.685,"8,567",0.877,64.4,"0,920","-0,002","0,885","0,766","0,207"
67,67,Zambia,7.3,12.0,2.7,20017675,21.4,117,0.401,0.584,31.3,0.040,0.22,0.59,0.12,4.05,0.34,4.3,1.56,2019,3.307,"8,155",0.638,55.8,"0,811","0,077","0,832","0,743","0,394"
68,68,Guinea,7.0,9.2,4.9,13859341,25.7,142,0.313,0.477,34.4,0.057,0.21,0.55,0.09,3.39,0.27,4.44,0.51,2019,4.768,"7,849",0.655,55.5,"0,691","0,097","0,756","0,685","0,473"
69,69,Brazil,6.9,10.9,3.0,215313498,24.95,88,0.57,0.765,25.5,0.041,0.29,1.17,0.24,7.77,1.11,3.99,2.96,2019,6.451,"9,592",0.899,66.6,"0,830","-0,062","0,762","0,761","0,337"
70,70,Italy,6.7,10.1,3.5,59037474,13.45,34,0.783,0.892,12.2,0.010,0.31,0.96,0.59,5.98,1.01,3.83,1.61,2019,6.445,"10,655",0.838,73.8,"0,709","-0,082","0,866","0,631","0,328"
71,71,Sierra Leone,6.7,8.3,5.1,8605718,26.05,147,0.291,0.452,35.6,0.049,0.21,0.55,0.09,3.72,0.36,4.46,0.51,2019,3.447,"7,449",0.611,52.4,"0,718","0,074","0,874","0,513","0,438"
72,72,Ghana,6.6,11.8,1.2,33475870,27.2,112,0.44,0.611,28.0,0.018,0.22,0.56,0.12,3.07,0.53,4.46,0.56,2019,4.967,"8,596",0.746,57.6,"0,787","0,116","0,857","0,682","0,270"
73,73,Chad,6.4,9.6,3.3,17723315,26.55,151,0.248,0.398,37.7,0.024,0.21,0.55,0.1,3.43,0.29,5.22,0.51,2019,4.251,"7,365",0.64,48.7,"0,537","0,055","0,832","0,587","0,460"
74,74,Bolivia,6.2,8.4,4.1,12224110,21.55,92,0.546,0.718,24.0,0.133,0.28,0.93,0.25,5.99,0.8,3.55,1.0,2019,5.674,"9,074",0.784,63.9,"0,881","-0,086","0,857","0,751","0,419"
75,75,Kenya,6.1,9.1,3.2,54027487,24.75,110,0.443,0.601,26.3,0.068,0.22,0.62,0.11,3.52,0.33,4.86,0.74,2019,4.619,"8,373",0.676,60.7,"0,818","0,310","0,794","0,751","0,251"
76,76,El Salvador,6.1,10.5,2.1,6336392,24.45,96,0.529,0.673,21.4,0.046,0.28,0.87,0.21,4.65,0.37,3.6,3.73,2019,6.455,"9,080",0.764,66.4,"0,877","-0,109","0,682","0,871","0,271"
77,77,Malta,6.1,9.8,2.3,533286,19.2,22,0.823,0.895,8.0,0.033[b],0.3,1.0,0.46,6.87,0.97,3.44,1.88,2019,6.733,"10,677",0.922,72.2,"0,924","0,087","0,689","0,707","0,356"
78,78,Senegal,6.0,9.2,3.0,17316449,27.85,129,0.348,0.512,32.0,0.049,0.22,0.56,0.11,2.95,0.33,4.1,0.49,2019,5.489,"8,130",0.688,60.0,"0,759","-0,019","0,796","0,789","0,332"
79,79,Paraguay,6.0,8.7,3.2,6780744,23.55,89,0.557,0.728,23.5,0.033,0.29,1.15,0.23,6.65,0.73,3.9,2.73,2019,5.653,"9,448",0.892,65.9,"0,876","0,028","0,882","0,858","0,275"
80,80,Guatemala,5.9,9.3,2.6,17843908,23.45,101,0.481,0.663,27.5,0.079,0.27,0.84,0.2,4.46,0.38,3.84,3.4,2019,6.262,"9,064",0.774,65.1,"0,901","-0,062","0,773","0,859","0,311"
